key,distance,patch,basis,rounds,method,prior,n,errors,mean_q,ece,brier,nll,kept_0.00,err_0.00,kept_0.05,err_0.05,kept_0.10,err_0.10,kept_0.20,err_0.20,kept_0.30,err_0.30,kept_0.50,err_0.50,kept_0.70,err_0.70
d3_at_q2_7/X/r230,3,q2_7,X,230,mwpm_gap,si1000,20000,9901,0.3258712479139237,0.1691787520860763,0.29314439433426714,0.8352591473633977,20000,9901,19000,9404,18000,8907,16000,7901,14000,6887,10000,4868,6000,2827
d3_at_q2_7/X/r230,3,q2_7,X,230,mwpm_gap,rl,20000,9833,0.3226761280591329,0.168973871940867,0.28702009616537594,0.7986436171402491,20000,9833,19000,9321,18000,8827,16000,7827,14000,6810,10000,4818,6000,2839
d3_at_q2_7/X/r250,3,q2_7,X,250,mwpm_gap,si1000,20000,9745,0.3307005976435781,0.15654940235642187,0.28986398177087513,0.8254128242536383,20000,9745,19000,9248,18000,8791,16000,7780,14000,6792,10000,4809,6000,2823
d3_at_q2_7/X/r250,3,q2_7,X,250,mwpm_gap,rl,20000,9725,0.3275215624853315,0.1587284375146685,0.2843530302028478,0.7904376480082559,20000,9725,19000,9243,18000,8740,16000,7761,14000,6790,10000,4836,6000,2845
d3_at_q2_7/Z/r01,3,q2_7,Z,1,mwpm_gap,si1000,20000,141,0.0025676405711125396,0.004483682724234038,0.0061955310203978785,0.028182959447389692,20000,141,19000,29,18000,18,16000,0,14000,0,10000,0,6000,0
d3_at_q2_7/Z/r01,3,q2_7,Z,1,mwpm_gap,rl,20000,128,0.0037153130027916775,0.002692185419952924,0.005622749771003978,0.02246449584528159,20000,128,19000,29,18000,4,16000,0,14000,0,10000,0,6000,0
d3_at_q2_7/Z/r01,3,q2_7,Z,1,exact,si1000,20000,140,0.0027690501857525877,0.004233773639555396,0.006107513991344416,0.02739763248265029,20000,140,19000,28,18000,16,16000,0,14000,0,10000,0,6000,0
d3_at_q2_7/Z/r01,3,q2_7,Z,1,exact,rl,20000,128,0.0042011748271193385,0.002210155297519192,0.0055854334584724925,0.02216665750415885,20000,128,19000,28,18000,3,16000,0,14000,0,10000,0,6000,0
d3_at_q2_7/Z/r10,3,q2_7,Z,10,mwpm_gap,si1000,20000,1418,0.033282869506914496,0.037617462777792376,0.05615142233672985,0.21805255376714586,20000,1418,19000,928,18000,687,16000,448,14000,304,10000,126,6000,1
d3_at_q2_7/Z/r10,3,q2_7,Z,10,mwpm_gap,rl,20000,1362,0.04476306113197962,0.023340620243674903,0.05373733880673178,0.19210125673141043,20000,1362,19000,910,18000,675,16000,414,14000,270,10000,83,6000,3
d3_at_q2_7/Z/r30,3,q2_7,Z,30,mwpm_gap,si1000,20000,3785,0.09051810120390227,0.09873189879609773,0.14292496691828596,0.5039503302001047,20000,3785,19000,3219,18000,2744,16000,2017,14000,1513,10000,774,6000,390
d3_at_q2_7/Z/r30,3,q2_7,Z,30,mwpm_gap,rl,20000,3637,0.1093449875359102,0.0725050124640898,0.13805158837658338,0.4518161740356868,20000,3637,19000,3219,18000,2739,16000,2017,14000,1497,10000,804,6000,345
d3_at_q2_7/Z/r50,3,q2_7,Z,50,mwpm_gap,si1000,20000,5312,0.1268955687688413,0.13870443123115872,0.19395506938483853,0.6496752334203586,20000,5312,19000,4750,18000,4274,16000,3305,14000,2464,10000,1436,6000,694
d3_at_q2_7/Z/r50,3,q2_7,Z,50,mwpm_gap,rl,20000,5163,0.1493897527967897,0.10876024720321031,0.18635460013559924,0.580788607604886,20000,5163,19000,4709,18000,4244,16000,3198,14000,2516,10000,1401,6000,700
d3_at_q2_7/Z/r70,3,q2_7,Z,70,mwpm_gap,si1000,20000,6722,0.17372369864198478,0.16237630135801526,0.23816251239438133,0.756476178361613,20000,6722,19000,6199,18000,5669,16000,4757,14000,3814,10000,2291,6000,1092
d3_at_q2_7/Z/r70,3,q2_7,Z,70,mwpm_gap,rl,20000,6618,0.1918282430488648,0.1390717569511352,0.23078582738805326,0.6870178614745769,20000,6618,19000,6155,18000,5709,16000,4726,14000,3792,10000,2335,6000,1122
d3_at_q2_7/Z/r90,3,q2_7,Z,90,mwpm_gap,si1000,20000,8019,0.20634160902817794,0.19460839097182211,0.27674756710966236,0.8561669487702437,20000,8019,19000,7496,18000,6994,16000,5954,14000,5013,10000,3186,6000,1752
d3_at_q2_7/Z/r90,3,q2_7,Z,90,mwpm_gap,rl,20000,7836,0.22613527214018922,0.16566472785981076,0.26295421169822286,0.765515959282086,20000,7836,19000,7318,18000,6830,16000,5883,14000,4929,10000,3165,6000,1640
d3_at_q2_7/Z/r110,3,q2_7,Z,110,mwpm_gap,si1000,20000,8223,0.21897072028576853,0.19217927971423152,0.27877396283036737,0.8442634967381905,20000,8223,19000,7696,18000,7164,16000,6206,14000,5228,10000,3339,6000,1791
d3_at_q2_7/Z/r110,3,q2_7,Z,110,mwpm_gap,rl,20000,8047,0.23398716399865366,0.16914750731459163,0.2681671150740229,0.7726541310379585,20000,8047,19000,7587,18000,7104,16000,6184,14000,5176,10000,3307,6000,1825
d3_at_q2_7/Z/r130,3,q2_7,Z,130,mwpm_gap,si1000,20000,8791,0.2460332692529856,0.19351673074701445,0.2866476873594519,0.849418853136374,20000,8791,19000,8259,18000,7711,16000,6671,14000,5703,10000,3761,6000,2015
d3_at_q2_7/Z/r130,3,q2_7,Z,130,mwpm_gap,rl,20000,8595,0.2586803464684307,0.17159853425266997,0.2775368956531176,0.7881331132517654,20000,8595,19000,8112,18000,7625,16000,6718,14000,5725,10000,3730,6000,2067
d3_at_q2_7/Z/r150,3,q2_7,Z,150,mwpm_gap,si1000,20000,8933,0.26023637623893114,0.18641362376106896,0.2902030870432305,0.8486967758822608,20000,8933,19000,8433,18000,7911,16000,6910,14000,5951,10000,4024,6000,2162
d3_at_q2_7/Z/r150,3,q2_7,Z,150,mwpm_gap,rl,20000,8857,0.270241252782846,0.17261243854566174,0.2806657620678124,0.7909741518903671,20000,8857,19000,8380,18000,7880,16000,6920,14000,5941,10000,3952,6000,2188
d3_at_q2_7/Z/r170,3,q2_7,Z,170,mwpm_gap,si1000,20000,9250,0.2798964621724505,0.18260353782754948,0.29250938864749176,0.8438383599845001,20000,9250,19000,8748,18000,8233,16000,7215,14000,6219,10000,4273,6000,2355
d3_at_q2_7/Z/r170,3,q2_7,Z,170,mwpm_gap,rl,20000,9220,0.2874240360408625,0.1735759639591375,0.28374584253752605,0.7945843606970208,20000,9220,19000,8702,18000,8188,16000,7224,14000,6230,10000,4197,6000,2346
