key,distance,patch,basis,rounds,method,prior,alpha,rule,keep,cal_n,cal_errors,test_n,test_errors,test_rate,exceed,sig_exceed
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.001,plugin,0.25,3872,3,3898,0,0.0,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.001,naive_raw,0.35,5298,14,5337,9,0.0016863406408094434,1,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.001,naive_platt,0.3,4592,5,4631,2,0.0004318721658389117,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.003,ltt,0.3,4592,5,4631,2,0.0004318721658389117,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.003,plugin,0.35,5298,14,5337,9,0.0016863406408094434,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.003,naive_raw,0.6,9431,166,9439,149,0.015785570505350142,1,1
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.003,naive_platt,0.35,5298,14,5337,9,0.0016863406408094434,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.01,ltt,0.35,5298,14,5337,9,0.0016863406408094434,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.01,plugin,0.35,5298,14,5337,9,0.0016863406408094434,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.01,naive_raw,0.9,13547,475,13562,422,0.031116354519982303,1,1
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.01,naive_platt,0.35,5298,14,5337,9,0.0016863406408094434,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.03,ltt,0.75,11466,290,11518,253,0.021965619031081785,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.03,plugin,0.8,12450,363,12468,316,0.025344882900224575,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.03,naive_raw,0.95,14325,691,14290,634,0.0443666899930021,1,1
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.03,naive_platt,0.8,12450,363,12468,316,0.025344882900224575,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.1,ltt,1.0,15000,1047,15000,1012,0.06746666666666666,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.1,plugin,1.0,15000,1047,15000,1012,0.06746666666666666,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.1,naive_raw,1.0,15000,1047,15000,1012,0.06746666666666666,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.1,naive_platt,1.0,15000,1047,15000,1012,0.06746666666666666,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.001,ltt,,,,,,,,
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.001,plugin,0.25,3964,3,4005,0,0.0,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.001,naive_raw,0.35,5326,12,5389,8,0.0014845054741139357,1,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.001,naive_platt,0.3,4624,5,4664,1,0.0002144082332761578,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.003,ltt,0.3,4624,5,4664,1,0.0002144082332761578,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.003,plugin,0.35,5326,12,5389,8,0.0014845054741139357,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.003,naive_raw,0.45,6972,46,6943,33,0.0047529886216333,1,1
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.003,naive_platt,0.35,5326,12,5389,8,0.0014845054741139357,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.01,ltt,0.45,6972,46,6943,33,0.0047529886216333,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.01,plugin,0.45,6972,46,6943,33,0.0047529886216333,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.01,naive_raw,0.7,10942,266,10902,222,0.020363236103467255,1,1
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.01,naive_platt,0.45,6972,46,6943,33,0.0047529886216333,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.03,ltt,0.75,11670,309,11666,264,0.022629864563689355,0,0
