axis,source,target,distance,basis,rounds,patch,method,prior,calibrator,ece,nll
sim,sim:d3_at_q10_7/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.002895824956484644,0.025188522443697858
basis,d3_at_q10_7/X/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.0008527272525131106,0.01855964262722939
basis,d3_at_q10_7/X/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.0008502118388839364,0.018696168043919104
patch,d3_at_q2_7/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.0013956488919412077,0.018567685152695877
patch,d3_at_q2_7/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.002426804397668988,0.021563292317367845
patch,d3_at_q4_5/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.00149666371790367,0.018848306327667364
patch,d3_at_q4_5/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.0010725089779988527,0.018689414994683132
patch,d3_at_q4_9/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.0007763366610390093,0.01850114109189372
patch,d3_at_q4_9/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.0006357287721358118,0.018731724372343106
patch,d3_at_q6_11/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.0018937181186934285,0.018943793880921846
patch,d3_at_q6_11/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.0017394524862185217,0.01918356164907378
patch,d3_at_q6_3/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.0011201182215133667,0.019463834671269695
patch,d3_at_q6_3/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.0013371946016721467,0.020151515795211895
patch,d3_at_q6_7/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.0007792895098342095,0.018464034040615813
patch,d3_at_q6_7/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.0007347062576139709,0.018500533218922494
patch,d3_at_q8_5/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.0017272152578452133,0.018863938665224424
patch,d3_at_q8_5/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.0015289896820879414,0.021717584617648892
patch,d3_at_q8_9/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.0008069465828664377,0.018688936748910142
patch,d3_at_q8_9/Z/r01,d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.000969508819680869,0.01830513266827226
pooled,pool:d3/Z/r1 without q10_7 (8 patches),d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,platt,0.0007682273632916544,0.018544815856350726
pooled,pool:d3/Z/r1 without q10_7 (8 patches),d3_at_q10_7/Z/r01,3,Z,1,q10_7,mwpm_gap,si1000,isotonic,0.0007498141639767915,0.01831471872255905
same,d3_at_q10_7/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.01038116257570587,0.19774045059040735
same,d3_at_q10_7/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.004859899775472529,0.1954082836193608
sim,sim:d3_at_q10_7/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.029576291389181542,0.21455369681373723
sim,sim:d3_at_q10_7/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.027764043894532145,0.21987097059106928
basis,d3_at_q10_7/X/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.008658834651632943,0.19751534183657685
basis,d3_at_q10_7/X/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.009490186100356134,0.19795065025210176
patch,d3_at_q2_7/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.008823523289079916,0.19759553222073528
patch,d3_at_q2_7/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.003055833885913392,0.19711649555717128
patch,d3_at_q4_5/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.00697789224093892,0.19745052089094142
patch,d3_at_q4_5/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.004329502957940771,0.19804534533979065
patch,d3_at_q4_9/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.010900570124360878,0.197940911246299
patch,d3_at_q4_9/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.008687510104559808,0.19928597542177728
patch,d3_at_q6_11/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.007801905577003911,0.19756989677948902
patch,d3_at_q6_11/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.004679516377342924,0.19634856628358247
patch,d3_at_q6_3/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.012980422930087374,0.19846498347440558
patch,d3_at_q6_3/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.012383014288602272,0.20083266644390219
patch,d3_at_q6_7/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.012520106641616216,0.19829152853153606
patch,d3_at_q6_7/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.005140571776312165,0.1982631736524516
patch,d3_at_q8_5/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.010464012750343248,0.19790118101932536
patch,d3_at_q8_5/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.007582829917616682,0.1985392483404456
patch,d3_at_q8_9/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.013945807936254443,0.1988969511544058
patch,d3_at_q8_9/Z/r10,d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.016525886604943866,0.2025214958325271
pooled,pool:d3/Z/r10 without q10_7 (8 patches),d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,platt,0.009126811849873044,0.19762611838936023
pooled,pool:d3/Z/r10 without q10_7 (8 patches),d3_at_q10_7/Z/r10,3,Z,10,q10_7,mwpm_gap,si1000,isotonic,0.006850496739851318,0.19768142745207237
same,d3_at_q10_7/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.012667782056297388,0.42976568463360504
same,d3_at_q10_7/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.009662287482152738,0.42995243874418615
