key,distance,patch,basis,rounds,source,decoder,prior,shots,errors,test_shots,test_errors,agree_with_google_cm,seconds
d5_at_q6_5/X/r230,5,q6_5,X,230,google,harmony,si1000,50000,22141,15000,6702,,
d5_at_q6_5/X/r230,5,q6_5,X,230,google,harmony,rl,50000,21848,15000,6528,,
d5_at_q6_5/X/r230,5,q6_5,X,230,google,libra,rl,50000,20993,15000,6328,,
d5_at_q6_9/X/r230,5,q6_9,X,230,ours,pymatching,si1000,50000,24056,15000,7137,26729,5.9
d5_at_q6_9/X/r230,5,q6_9,X,230,ours,pymatching_correlated,si1000,50000,22629,15000,6842,37408,19.77
d5_at_q6_9/X/r230,5,q6_9,X,230,ours,pymatching,rl,50000,24066,15000,7230,26688,6.08
d5_at_q6_9/X/r230,5,q6_9,X,230,ours,pymatching_correlated,rl,50000,22299,15000,6671,33657,19.9
d5_at_q6_9/X/r230,5,q6_9,X,230,google,correlated_matching,si1000,50000,22619,15000,6765,,
d5_at_q6_9/X/r230,5,q6_9,X,230,google,correlated_matching,rl,50000,22294,15000,6774,,
d5_at_q6_9/X/r230,5,q6_9,X,230,google,harmony,si1000,50000,22482,15000,6800,,
d5_at_q6_9/X/r230,5,q6_9,X,230,google,harmony,rl,50000,22024,15000,6616,,
d5_at_q6_9/X/r230,5,q6_9,X,230,google,libra,rl,50000,21476,15000,6582,,
d5_at_q6_9/Z/r230,5,q6_9,Z,230,ours,pymatching,si1000,50000,24077,15000,7225,26858,6.0
d5_at_q6_9/Z/r230,5,q6_9,Z,230,ours,pymatching_correlated,si1000,50000,22495,15000,6765,37228,20.22
d5_at_q6_9/Z/r230,5,q6_9,Z,230,ours,pymatching,rl,50000,24108,15000,7258,27291,6.13
d5_at_q6_9/Z/r230,5,q6_9,Z,230,ours,pymatching_correlated,rl,50000,21958,15000,6624,35167,19.78
d5_at_q6_9/Z/r230,5,q6_9,Z,230,google,correlated_matching,si1000,50000,22367,15000,6764,,
d5_at_q6_9/Z/r230,5,q6_9,Z,230,google,correlated_matching,rl,50000,21559,15000,6463,,
d5_at_q6_9/Z/r230,5,q6_9,Z,230,google,harmony,si1000,50000,21990,15000,6526,,
