     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        52,         0,         0,   0.000,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
        39,         0,         0,   0.001,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      7556,         7,         0,   0.023,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
     15360,        20,         0,   0.047,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
        29,         0,         0,   0.000,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
        39,         0,         0,   0.000,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      3345,         6,         0,   0.011,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
        29,         0,         0,   0.000,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
         5,         0,         0,   0.000,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
         9,         0,         0,   0.000,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      8739,         6,         0,   0.027,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         4,         0,         0,   0.000,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      5120,         5,         0,   0.015,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       598,         1,         0,   0.002,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         1,         0,         0,   0.000,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      4288,         6,         0,   0.013,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
      4288,         9,         0,   0.013,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
      1072,         1,         0,   0.003,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       358,         1,         0,   0.001,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
      1024,         0,         0,   0.003,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       938,         0,         0,   0.003,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       938,         1,         0,   0.004,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       648,         0,         0,   0.002,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       531,         0,         0,   0.002,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       268,         0,         0,   0.001,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       350,         0,         0,   0.002,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       354,         2,         0,   0.001,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       648,         0,         0,   0.002,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       199,         0,         0,   0.001,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       262,         2,         0,   0.001,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       350,         1,         0,   0.001,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
       384,         1,         0,   0.001,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
        80,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
        22,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
        32,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
        32,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
        32,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
        22,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         3,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         2,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         6,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         1,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         7,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         2,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         4,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         1,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         2,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         1,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         1,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
         1,         0,         0,   0.000,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
