key,distance,patch,basis,rounds,method,prior,calibrator,test_n,test_errors,mean_q,ece,brier,nll,params
d3_at_q10_7/X/r90,3,q10_7,X,90,mwpm_gap,si1000,isotonic,15000,5832,0.3837293415068205,0.012809322898868719,0.22369443049688756,0.6384062432816595,steps=50
d3_at_q10_7/X/r90,3,q10_7,X,90,mwpm_gap,rl,raw,15000,5586,0.22200539407847172,0.15039460592152823,0.25097015691984004,0.7486255417671966,
d3_at_q10_7/X/r90,3,q10_7,X,90,mwpm_gap,rl,temperature,15000,5586,0.3638202451517974,0.023607775782905602,0.2241113714940344,0.6388293885584991,T=2.71
d3_at_q10_7/X/r90,3,q10_7,X,90,mwpm_gap,rl,platt,15000,5586,0.3710272642162933,0.024642953101098885,0.22400921443569047,0.6385603049565852,a=0.4084;b=-0.08906
d3_at_q10_7/X/r90,3,q10_7,X,90,mwpm_gap,rl,isotonic,15000,5586,0.37104807520940186,0.007919002000979202,0.2233328602933213,0.6369895764287384,steps=38
d3_at_q10_7/X/r110,3,q10_7,X,110,mwpm_gap,si1000,raw,15000,6412,0.23153234575397066,0.195934320912696,0.28254734808083437,0.8758602691193048,
d3_at_q10_7/X/r110,3,q10_7,X,110,mwpm_gap,si1000,temperature,15000,6412,0.4065471312568927,0.026984161352588673,0.23716099587103892,0.6667396112223243,T=4.286
d3_at_q10_7/X/r110,3,q10_7,X,110,mwpm_gap,si1000,platt,15000,6412,0.4268128644192694,0.014632478966193066,0.23660692768436517,0.6656655350361514,a=0.3076;b=-0.2019
d3_at_q10_7/X/r110,3,q10_7,X,110,mwpm_gap,si1000,isotonic,15000,6412,0.42662111341811654,0.011196083069435269,0.23654033898966773,0.6661166657800283,steps=40
d3_at_q10_7/X/r110,3,q10_7,X,110,mwpm_gap,rl,raw,15000,6152,0.2450190378386352,0.16511429549469814,0.27191595446874617,0.798823592833418,
d3_at_q10_7/X/r110,3,q10_7,X,110,mwpm_gap,rl,temperature,15000,6152,0.4010157981672455,0.024205764803534577,0.23724623310965676,0.6669548511720752,T=3.38
d3_at_q10_7/X/r110,3,q10_7,X,110,mwpm_gap,rl,platt,15000,6152,0.40587059131413694,0.02447550023127452,0.23726487026505275,0.6669849596188137,a=0.3224;b=-0.05555
d3_at_q10_7/X/r110,3,q10_7,X,110,mwpm_gap,rl,isotonic,15000,6152,0.4061086062536045,0.014579577804160764,0.23665915587229847,0.6656821372744788,steps=37
d3_at_q10_7/X/r130,3,q10_7,X,130,mwpm_gap,si1000,raw,15000,6674,0.2526924852694903,0.19224084806384303,0.2887746860949891,0.8741487614131701,
d3_at_q10_7/X/r130,3,q10_7,X,130,mwpm_gap,si1000,temperature,15000,6674,0.42746764620132094,0.021321052767725886,0.24185658826138093,0.6764841708586891,T=4.934
d3_at_q10_7/X/r130,3,q10_7,X,130,mwpm_gap,si1000,platt,15000,6674,0.4402133003273838,0.01177989721746314,0.24145414984681338,0.6756680877741036,a=0.2485;b=-0.1173
d3_at_q10_7/X/r130,3,q10_7,X,130,mwpm_gap,si1000,isotonic,15000,6674,0.4399388248087393,0.011143251375081358,0.24154631378949043,0.6759023468272661,steps=32
d3_at_q10_7/X/r130,3,q10_7,X,130,mwpm_gap,rl,raw,15000,6442,0.26616092725240953,0.1633057394142571,0.2753963292283793,0.7994728529234199,
d3_at_q10_7/X/r130,3,q10_7,X,130,mwpm_gap,rl,temperature,15000,6442,0.422474768984575,0.016517828794065464,0.24123336480052884,0.6752656377639162,T=3.891
d3_at_q10_7/X/r130,3,q10_7,X,130,mwpm_gap,rl,platt,15000,6442,0.4234088099226301,0.016144818214590656,0.24121921899257714,0.6752362270583626,a=0.262;b=-0.009766
d3_at_q10_7/X/r130,3,q10_7,X,130,mwpm_gap,rl,isotonic,15000,6442,0.4234721377888444,0.006699690318636281,0.24110256272306627,0.6750325863669692,steps=28
d3_at_q10_7/X/r150,3,q10_7,X,150,mwpm_gap,si1000,raw,15000,6951,0.27176905668026236,0.19163094331973762,0.2939905231366944,0.8745240150894431,
d3_at_q10_7/X/r150,3,q10_7,X,150,mwpm_gap,si1000,temperature,15000,6951,0.4505656809199464,0.021265838082681978,0.24542221026164432,0.6838451624291977,T=6.52
d3_at_q10_7/X/r150,3,q10_7,X,150,mwpm_gap,si1000,platt,15000,6951,0.4657003610019608,0.01006294501212734,0.2450585448415218,0.6830923848162951,a=0.2084;b=-0.1317
d3_at_q10_7/X/r150,3,q10_7,X,150,mwpm_gap,si1000,isotonic,15000,6951,0.4656585404848515,0.007000662475812741,0.24508821236651013,0.6831488877132489,steps=37
d3_at_q10_7/X/r150,3,q10_7,X,150,mwpm_gap,rl,raw,15000,6840,0.28432979823276316,0.17167020176723685,0.2839342430031584,0.8125882647346256,
d3_at_q10_7/X/r150,3,q10_7,X,150,mwpm_gap,rl,temperature,15000,6840,0.4462489680663696,0.020791173746123565,0.24559891860535243,0.6842123736951014,T=5.1
d3_at_q10_7/X/r150,3,q10_7,X,150,mwpm_gap,rl,platt,15000,6840,0.4506885343635975,0.018627965688110263,0.24549110149088924,0.6839889212146926,a=0.2194;b=-0.04346
d3_at_q10_7/X/r150,3,q10_7,X,150,mwpm_gap,rl,isotonic,15000,6840,0.4506666471796883,0.009482732536387898,0.2452738274461884,0.683488682446566,steps=27
d3_at_q10_7/X/r170,3,q10_7,X,170,mwpm_gap,si1000,raw,15000,7162,0.29241401172844633,0.18505265493822026,0.2924695054522276,0.85401065433455,
d3_at_q10_7/X/r170,3,q10_7,X,170,mwpm_gap,si1000,temperature,15000,7162,0.4612677988880383,0.022689948992734767,0.2470363155472541,0.6871426481620714,T=7.308
d3_at_q10_7/X/r170,3,q10_7,X,170,mwpm_gap,si1000,platt,15000,7162,0.4729148730877083,0.014425552063646213,0.24653130026679607,0.6861177234592206,a=0.179;b=-0.09436
d3_at_q10_7/X/r170,3,q10_7,X,170,mwpm_gap,si1000,isotonic,15000,7162,0.472752308088542,0.011202553655235049,0.24669984689775112,0.686499652436583,steps=36
d3_at_q10_7/X/r170,3,q10_7,X,170,mwpm_gap,rl,raw,15000,6926,0.2994490634481569,0.16228426988517644,0.2817592595413297,0.8000672284951741,
d3_at_q10_7/X/r170,3,q10_7,X,170,mwpm_gap,rl,temperature,15000,6926,0.4578968537074848,0.012772545136465868,0.24676307737492198,0.6866067143272342,T=5.912
d3_at_q10_7/X/r170,3,q10_7,X,170,mwpm_gap,rl,platt,15000,6926,0.4606711314621091,0.012342422163264288,0.24671476465599387,0.6865070596410698,a=0.1841;b=-0.02605
d3_at_q10_7/X/r170,3,q10_7,X,170,mwpm_gap,rl,isotonic,15000,6926,0.4607553956872585,0.007139242420721258,0.246562254728551,0.6861920250845434,steps=24
d3_at_q10_7/X/r190,3,q10_7,X,190,mwpm_gap,si1000,raw,15000,7120,0.3013596230248576,0.17330704364180916,0.2913108191435219,0.8445277281289265,
d3_at_q10_7/X/r190,3,q10_7,X,190,mwpm_gap,si1000,temperature,15000,7120,0.4680808731534787,0.0204683481101938,0.24766059683244368,0.6884204166633215,T=8.346
d3_at_q10_7/X/r190,3,q10_7,X,190,mwpm_gap,si1000,platt,15000,7120,0.477408996287626,0.016885994414207305,0.24749662585858587,0.6880807665828929,a=0.1556;b=-0.07551
d3_at_q10_7/X/r190,3,q10_7,X,190,mwpm_gap,si1000,isotonic,15000,7120,0.4773610241021898,0.00925568167840875,0.2473409095378505,0.6877637130606223,steps=22
d3_at_q10_7/X/r190,3,q10_7,X,190,mwpm_gap,rl,raw,15000,7044,0.3109997680805475,0.15860023191945252,0.2801920000161064,0.7900286078684348,
d3_at_q10_7/X/r190,3,q10_7,X,190,mwpm_gap,rl,temperature,15000,7044,0.4657825202588746,0.015544250389331181,0.2472945581560892,0.6876834132123391,T=6.768
d3_at_q10_7/X/r190,3,q10_7,X,190,mwpm_gap,rl,platt,15000,7044,0.47031454666683475,0.012016343992523382,0.24715394136832547,0.6873946901582065,a=0.1733;b=-0.04178
d3_at_q10_7/X/r190,3,q10_7,X,190,mwpm_gap,rl,isotonic,15000,7044,0.4700667599236104,0.012076643049023195,0.2470087682083605,0.687088862180853,steps=20
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,si1000,raw,15000,7329,0.3157158099256759,0.1728841900743241,0.2934457038845607,0.8403363941891369,
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,si1000,temperature,15000,7329,0.4814290985818207,0.0169840070644199,0.24907204999786123,0.691281730737172,T=12.94
