key,distance,patch,basis,rounds,method,prior,shots,errors,ties,seconds
d5_at_q4_7/X/r150,5,q4_7,X,150,mwpm_gap,rl,50000,21056,0,12.13
d5_at_q6_9/X/r170,5,q6_9,X,170,mwpm_gap,si1000,50000,23267,0,15.4
d5_at_q6_9/X/r170,5,q6_9,X,170,mwpm_gap,rl,50000,23151,0,15.24
d5_at_q6_9/Z/r170,5,q6_9,Z,170,mwpm_gap,si1000,50000,22527,340,16.11
d5_at_q6_9/Z/r170,5,q6_9,Z,170,mwpm_gap,rl,50000,22428,0,15.66
d5_at_q4_7/Z/r150,5,q4_7,Z,150,mwpm_gap,si1000,50000,19585,207,11.53
d5_at_q4_7/Z/r150,5,q4_7,Z,150,mwpm_gap,rl,50000,19417,0,11.32
d5_at_q8_7/Z/r170,5,q8_7,Z,170,mwpm_gap,si1000,50000,22657,299,16.74
d5_at_q8_7/Z/r170,5,q8_7,Z,170,mwpm_gap,rl,50000,22657,0,16.62
d5_at_q8_7/X/r170,5,q8_7,X,170,mwpm_gap,si1000,50000,23304,0,18.3
d5_at_q8_7/X/r170,5,q8_7,X,170,mwpm_gap,rl,50000,23134,0,18.88
d5_at_q6_5/Z/r150,5,q6_5,Z,150,mwpm_gap,si1000,50000,19952,251,12.1
d5_at_q6_5/Z/r150,5,q6_5,Z,150,mwpm_gap,rl,50000,19803,0,12.43
d5_at_q6_5/X/r150,5,q6_5,X,150,mwpm_gap,si1000,50000,21940,0,13.84
d5_at_q6_5/X/r150,5,q6_5,X,150,mwpm_gap,rl,50000,21617,0,14.13
d5_at_q6_9/X/r150,5,q6_9,X,150,mwpm_gap,si1000,50000,22588,0,12.9
d5_at_q6_9/X/r150,5,q6_9,X,150,mwpm_gap,rl,50000,22632,0,12.75
d5_at_q6_9/Z/r150,5,q6_9,Z,150,mwpm_gap,si1000,50000,21576,283,13.58
d5_at_q6_9/Z/r150,5,q6_9,Z,150,mwpm_gap,rl,50000,21515,0,13.38
d5_at_q4_7/X/r130,5,q4_7,X,130,mwpm_gap,si1000,50000,20518,0,10.03
d5_at_q4_7/X/r130,5,q4_7,X,130,mwpm_gap,rl,50000,20232,0,10.05
d5_at_q4_7/Z/r130,5,q4_7,Z,130,mwpm_gap,si1000,50000,19144,199,10.1
d5_at_q4_7/Z/r130,5,q4_7,Z,130,mwpm_gap,rl,50000,18744,0,9.9
d5_at_q8_7/Z/r150,5,q8_7,Z,150,mwpm_gap,si1000,50000,22181,260,14.36
d5_at_q8_7/Z/r150,5,q8_7,Z,150,mwpm_gap,rl,50000,22095,0,14.32
d5_at_q8_7/X/r150,5,q8_7,X,150,mwpm_gap,si1000,50000,22738,0,15.52
d5_at_q8_7/X/r150,5,q8_7,X,150,mwpm_gap,rl,50000,22543,0,15.97
d7_at_q6_7/X/r70,7,q6_7,X,70,mwpm_gap,si1000,50000,12403,48,15.35
d7_at_q6_7/X/r70,7,q6_7,X,70,mwpm_gap,rl,50000,11834,0,15.62
d7_at_q6_7/Z/r70,7,q6_7,Z,70,mwpm_gap,si1000,50000,10253,45,15.41
d7_at_q6_7/Z/r70,7,q6_7,Z,70,mwpm_gap,rl,50000,10152,1,15.71
d5_at_q6_5/X/r130,5,q6_5,X,130,mwpm_gap,si1000,50000,20712,0,11.4
d5_at_q6_5/X/r130,5,q6_5,X,130,mwpm_gap,rl,50000,20558,0,11.59
d5_at_q6_5/Z/r130,5,q6_5,Z,130,mwpm_gap,si1000,50000,19169,262,10.39
d5_at_q6_5/Z/r130,5,q6_5,Z,130,mwpm_gap,rl,50000,19062,0,10.64
d5_at_q6_9/X/r130,5,q6_9,X,130,mwpm_gap,si1000,50000,21470,0,10.64
d5_at_q6_9/X/r130,5,q6_9,X,130,mwpm_gap,rl,50000,21146,0,10.56
d5_at_q4_7/X/r110,5,q4_7,X,110,mwpm_gap,si1000,50000,19766,0,8.72
d5_at_q4_7/X/r110,5,q4_7,X,110,mwpm_gap,rl,50000,19587,0,8.86
d5_at_q6_9/Z/r130,5,q6_9,Z,130,mwpm_gap,si1000,50000,20805,220,11.48
d5_at_q6_9/Z/r130,5,q6_9,Z,130,mwpm_gap,rl,50000,20592,0,11.36
d5_at_q4_7/Z/r110,5,q4_7,Z,110,mwpm_gap,si1000,50000,17204,145,8.38
d5_at_q4_7/Z/r110,5,q4_7,Z,110,mwpm_gap,rl,50000,16890,0,8.3
d5_at_q8_7/Z/r130,5,q8_7,Z,130,mwpm_gap,si1000,50000,20886,240,11.76
d5_at_q8_7/Z/r130,5,q8_7,Z,130,mwpm_gap,rl,50000,20739,0,11.91
d5_at_q8_7/X/r130,5,q8_7,X,130,mwpm_gap,si1000,50000,22056,0,12.73
d5_at_q8_7/X/r130,5,q8_7,X,130,mwpm_gap,rl,50000,21739,0,13.28
d5_at_q6_5/X/r110,5,q6_5,X,110,mwpm_gap,si1000,50000,19876,0,9.51
d5_at_q6_5/X/r110,5,q6_5,X,110,mwpm_gap,rl,50000,19784,0,9.73
d5_at_q6_5/Z/r110,5,q6_5,Z,110,mwpm_gap,si1000,50000,18150,201,8.78
d5_at_q6_5/Z/r110,5,q6_5,Z,110,mwpm_gap,rl,50000,18349,0,9.04
d5_at_q6_9/X/r110,5,q6_9,X,110,mwpm_gap,si1000,50000,20133,0,8.67
d5_at_q6_9/X/r110,5,q6_9,X,110,mwpm_gap,rl,50000,19823,0,8.58
d5_at_q6_9/Z/r110,5,q6_9,Z,110,mwpm_gap,si1000,50000,19451,182,9.36
d5_at_q6_9/Z/r110,5,q6_9,Z,110,mwpm_gap,rl,50000,19126,0,9.4
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,si1000,50000,24610,0,5.04
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,rl,50000,24350,0,5.54
d3_at_q10_7/Z/r250,3,q10_7,Z,250,mwpm_gap,si1000,50000,24582,1176,4.85
d3_at_q10_7/Z/r250,3,q10_7,Z,250,mwpm_gap,rl,50000,24795,0,5.35
d3_at_q2_7/X/r250,3,q2_7,X,250,mwpm_gap,si1000,50000,24321,0,4.11
d3_at_q2_7/X/r250,3,q2_7,X,250,mwpm_gap,rl,50000,24448,0,4.02
d5_at_q8_7/Z/r110,5,q8_7,Z,110,mwpm_gap,si1000,50000,19426,166,9.57
d5_at_q8_7/Z/r110,5,q8_7,Z,110,mwpm_gap,rl,50000,19229,0,9.75
d5_at_q8_7/X/r110,5,q8_7,X,110,mwpm_gap,si1000,50000,20705,0,10.37
d5_at_q8_7/X/r110,5,q8_7,X,110,mwpm_gap,rl,50000,20165,0,10.79
d7_at_q6_7/X/r50,7,q6_7,X,50,mwpm_gap,si1000,50000,8363,20,11.02
d7_at_q6_7/X/r50,7,q6_7,X,50,mwpm_gap,rl,50000,8188,0,11.37
d3_at_q2_7/Z/r250,3,q2_7,Z,250,mwpm_gap,si1000,50000,24490,1157,4.01
d3_at_q2_7/Z/r250,3,q2_7,Z,250,mwpm_gap,rl,50000,24340,0,3.72
d7_at_q6_7/Z/r50,7,q6_7,Z,50,mwpm_gap,si1000,50000,7643,32,10.87
d7_at_q6_7/Z/r50,7,q6_7,Z,50,mwpm_gap,rl,50000,7509,0,11.38
d3_at_q4_5/Z/r250,3,q4_5,Z,250,mwpm_gap,si1000,50000,24553,1299,4.16
d3_at_q4_5/Z/r250,3,q4_5,Z,250,mwpm_gap,rl,50000,24643,0,4.09
d3_at_q4_9/X/r250,3,q4_9,X,250,mwpm_gap,si1000,50000,24959,0,4.68
d3_at_q4_9/X/r250,3,q4_9,X,250,mwpm_gap,rl,50000,24993,0,4.65
d3_at_q4_5/X/r250,3,q4_5,X,250,mwpm_gap,si1000,50000,24760,0,4.81
d3_at_q4_5/X/r250,3,q4_5,X,250,mwpm_gap,rl,50000,24662,0,5.3
d3_at_q6_11/X/r250,3,q6_11,X,250,mwpm_gap,si1000,50000,24908,0,4.59
d3_at_q6_11/X/r250,3,q6_11,X,250,mwpm_gap,rl,50000,24749,0,4.55
d3_at_q4_9/Z/r250,3,q4_9,Z,250,mwpm_gap,si1000,50000,24753,1455,5.08
d3_at_q4_9/Z/r250,3,q4_9,Z,250,mwpm_gap,rl,50000,24808,0,4.84
d3_at_q6_3/X/r250,3,q6_3,X,250,mwpm_gap,si1000,50000,24439,0,4.24
d3_at_q6_3/X/r250,3,q6_3,X,250,mwpm_gap,rl,50000,24822,0,4.35
d3_at_q6_11/Z/r250,3,q6_11,Z,250,mwpm_gap,si1000,50000,24622,1180,5.34
d3_at_q6_11/Z/r250,3,q6_11,Z,250,mwpm_gap,rl,50000,24717,0,5.36
d3_at_q6_3/Z/r250,3,q6_3,Z,250,mwpm_gap,si1000,50000,24298,738,4.7
d3_at_q6_3/Z/r250,3,q6_3,Z,250,mwpm_gap,rl,50000,24150,0,5.17
d3_at_q8_5/Z/r250,3,q8_5,Z,250,mwpm_gap,si1000,50000,24480,857,4.22
d3_at_q8_5/Z/r250,3,q8_5,Z,250,mwpm_gap,rl,50000,24398,0,4.19
d3_at_q8_5/X/r250,3,q8_5,X,250,mwpm_gap,si1000,50000,24944,0,4.81
d3_at_q8_5/X/r250,3,q8_5,X,250,mwpm_gap,rl,50000,24769,0,5.2
d3_at_q6_7/X/r250,3,q6_7,X,250,mwpm_gap,si1000,50000,25029,0,5.8
d3_at_q6_7/X/r250,3,q6_7,X,250,mwpm_gap,rl,50000,25161,0,6.77
d3_at_q6_7/Z/r250,3,q6_7,Z,250,mwpm_gap,si1000,50000,24941,2664,5.81
d3_at_q6_7/Z/r250,3,q6_7,Z,250,mwpm_gap,rl,50000,24795,0,5.4
d3_at_q8_9/X/r250,3,q8_9,X,250,mwpm_gap,si1000,50000,24807,0,5.81
d3_at_q8_9/X/r250,3,q8_9,X,250,mwpm_gap,rl,50000,24998,0,5.73
d3_at_q8_9/Z/r250,3,q8_9,Z,250,mwpm_gap,si1000,50000,25240,1864,6.95
d3_at_q8_9/Z/r250,3,q8_9,Z,250,mwpm_gap,rl,50000,25097,0,7.95
d5_at_q4_7/X/r90,5,q4_7,X,90,mwpm_gap,si1000,50000,17468,0,7.0
d5_at_q4_7/X/r90,5,q4_7,X,90,mwpm_gap,rl,50000,17261,0,6.8
d5_at_q4_7/Z/r90,5,q4_7,Z,90,mwpm_gap,si1000,50000,17756,167,7.21
d5_at_q4_7/Z/r90,5,q4_7,Z,90,mwpm_gap,rl,50000,17143,0,6.97
d5_at_q6_5/X/r90,5,q6_5,X,90,mwpm_gap,si1000,50000,18440,0,7.86
d5_at_q6_5/X/r90,5,q6_5,X,90,mwpm_gap,rl,50000,18166,0,7.93
d5_at_q6_5/Z/r90,5,q6_5,Z,90,mwpm_gap,si1000,50000,17691,177,7.31
d5_at_q6_5/Z/r90,5,q6_5,Z,90,mwpm_gap,rl,50000,17996,0,7.48
d5_at_q6_9/X/r90,5,q6_9,X,90,mwpm_gap,si1000,50000,19269,0,7.38
d5_at_q6_9/X/r90,5,q6_9,X,90,mwpm_gap,rl,50000,19129,0,7.44
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,si1000,50000,24620,0,4.4
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,rl,50000,24162,0,4.87
d5_at_q6_9/Z/r90,5,q6_9,Z,90,mwpm_gap,si1000,50000,20282,198,8.96
d5_at_q6_9/Z/r90,5,q6_9,Z,90,mwpm_gap,rl,50000,19938,0,8.8
d5_at_q8_7/X/r90,5,q8_7,X,90,mwpm_gap,si1000,50000,18802,0,8.21
d5_at_q8_7/X/r90,5,q8_7,X,90,mwpm_gap,rl,50000,18103,0,8.52
d3_at_q10_7/Z/r230,3,q10_7,Z,230,mwpm_gap,si1000,50000,24582,1065,4.21
d3_at_q10_7/Z/r230,3,q10_7,Z,230,mwpm_gap,rl,50000,24182,0,4.59
d3_at_q2_7/Z/r230,3,q2_7,Z,230,mwpm_gap,si1000,50000,24290,1162,3.64
d3_at_q2_7/Z/r230,3,q2_7,Z,230,mwpm_gap,rl,50000,24347,0,3.42
d3_at_q2_7/X/r230,3,q2_7,X,230,mwpm_gap,si1000,50000,24588,0,3.99
d3_at_q2_7/X/r230,3,q2_7,X,230,mwpm_gap,rl,50000,24505,0,3.95
d3_at_q4_5/X/r230,3,q4_5,X,230,mwpm_gap,si1000,50000,24584,0,4.27
d3_at_q4_5/X/r230,3,q4_5,X,230,mwpm_gap,rl,50000,24466,0,4.68
d3_at_q4_5/Z/r230,3,q4_5,Z,230,mwpm_gap,si1000,50000,24138,1225,3.73
d3_at_q4_5/Z/r230,3,q4_5,Z,230,mwpm_gap,rl,50000,24072,0,3.62
d3_at_q4_9/X/r230,3,q4_9,X,230,mwpm_gap,si1000,50000,24909,0,4.14
d3_at_q4_9/X/r230,3,q4_9,X,230,mwpm_gap,rl,50000,24615,0,4.03
d5_at_q8_7/Z/r90,5,q8_7,Z,90,mwpm_gap,si1000,50000,19292,159,8.96
d5_at_q8_7/Z/r90,5,q8_7,Z,90,mwpm_gap,rl,50000,19170,0,9.13
d3_at_q4_9/Z/r230,3,q4_9,Z,230,mwpm_gap,si1000,50000,24421,1420,4.54
d3_at_q4_9/Z/r230,3,q4_9,Z,230,mwpm_gap,rl,50000,24439,0,4.25
d3_at_q6_11/X/r230,3,q6_11,X,230,mwpm_gap,si1000,50000,24780,0,4.39
d3_at_q6_11/X/r230,3,q6_11,X,230,mwpm_gap,rl,50000,24812,0,4.25
d3_at_q6_3/X/r230,3,q6_3,X,230,mwpm_gap,si1000,50000,24480,0,4.1
d3_at_q6_3/X/r230,3,q6_3,X,230,mwpm_gap,rl,50000,24572,0,4.13
d3_at_q6_11/Z/r230,3,q6_11,Z,230,mwpm_gap,si1000,50000,24749,1147,4.93
d3_at_q6_11/Z/r230,3,q6_11,Z,230,mwpm_gap,rl,50000,24448,0,4.97
d3_at_q6_3/Z/r230,3,q6_3,Z,230,mwpm_gap,si1000,50000,24152,761,4.13
d3_at_q6_3/Z/r230,3,q6_3,Z,230,mwpm_gap,rl,50000,24014,0,4.56
d3_at_q8_5/Z/r230,3,q8_5,Z,230,mwpm_gap,si1000,50000,24219,786,3.96
d3_at_q8_5/Z/r230,3,q8_5,Z,230,mwpm_gap,rl,50000,24106,0,3.95
d3_at_q6_7/Z/r230,3,q6_7,Z,230,mwpm_gap,si1000,50000,24648,2633,5.14
d3_at_q6_7/Z/r230,3,q6_7,Z,230,mwpm_gap,rl,50000,24539,0,4.78
d3_at_q8_5/X/r230,3,q8_5,X,230,mwpm_gap,si1000,50000,24840,0,4.67
d3_at_q8_5/X/r230,3,q8_5,X,230,mwpm_gap,rl,50000,24911,0,5.14
d3_at_q6_7/X/r230,3,q6_7,X,230,mwpm_gap,si1000,50000,25060,0,5.28
d3_at_q6_7/X/r230,3,q6_7,X,230,mwpm_gap,rl,50000,24997,0,6.1
d3_at_q8_9/X/r230,3,q8_9,X,230,mwpm_gap,si1000,50000,24875,0,5.01
d3_at_q8_9/X/r230,3,q8_9,X,230,mwpm_gap,rl,50000,24922,0,4.97
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,si1000,50000,24437,0,4.07
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,rl,50000,23937,0,4.36
